p,a00,a01,a02,a03,a10,a11,a12,a13,a20,a21,a22,a23,a30,a31,a32,a33,CM,q
2,1,0,0,0,1/2,1/2,1/2,1/2,1/2,1/2,-1/2,1/2,1/2,-1/2,1/2,1/2,CM,
3,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
5,1,0,0,0,1/2,-1/4,0,1/4,1/2,3/4,0,1/4,-1/2,1/2,1/2,0,CM,
7,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
11,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
11,1/2,0,1/2,1,0,1/4,1/2,3/4,0,0,1,0,0,0,0,2,CM,
13,1,0,0,0,0,1,0,0,1/2,-1/4,0,1/4,-1/2,1/2,-1/2,0,CM,
17,1,0,0,0,1/2,1/2,0,0,1/2,1/6,1/2,1/6,-1/2,1/6,0,-1/3,CM,3
17,1/2,0,0,1/2,0,1/6,1/2,2/3,0,0,1,0,0,0,0,1,CM,3
17,1,0,0,0,1/2,1/2,0,0,-1/2,-3/14,0,1/7,0,-1/7,1/2,-1/14,CM,7
17,1/2,0,0,1/2,0,1/14,1/2,2/7,0,0,1,0,0,0,0,1,CM,7
17,1,0,0,0,1/2,1/2,0,0,1/2,3/22,0,-1/11,0,2/11,1/2,1/22,CM,11
17,1/2,0,0,1/2,0,1/22,1/2,7/11,0,0,1,0,0,0,0,1,CM,11
17,1,0,0,0,1/2,1/2,0,0,1/2,1/46,0,-1/23,-1/2,11/46,1/2,1/46,CM,23
17,1/2,0,0,1/2,0,1/46,1/2,22/23,0,0,1,0,0,0,0,1,CM,23
19,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
19,1/2,0,1/2,1,0,1/4,1/2,1/4,0,0,1,0,0,0,0,2,CM,
23,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
23,1/2,0,1/2,0,0,1/4,0,5/4,0,0,1,0,0,0,0,2,CM,
23,1/2,0,3/2,0,0,1/6,2/3,1/2,0,0,3,0,0,0,0,1,CM,
29,1,0,0,0,0,1,0,0,1/2,-1/4,0,1/4,-1/2,1/2,-1/2,0,CM,
29,1/2,0,1/2,1/2,0,1/8,3/4,5/8,0,0,1,1,0,0,0,2,CM,
29,1/2,0,1/2,3/2,0,1/12,1/2,25/12,0,0,1,0,0,0,0,3,CM,
31,1,0,0,0,0,1,0,0,0,1/2,0,1/2,1/2,0,1/2,0,CM,
31,1/2,0,1/2,0,0,1/4,0,1/4,0,0,1,0,0,0,0,2,CM,
31,1/2,0,1/2,2,0,1/6,1/3,13/6,0,0,1,1,0,0,0,3,CM,
37,1,0,0,0,0,1,0,0,1/2,-1/4,0,1/4,-1/2,1/2,-1/2,0,CM,
37,1/2,0,1/2,1/2,0,1/8,3/4,1/8,0,0,1,1,0,0,0,2,CM,
41,1,0,0,0,1/2,1/2,0,0,1/2,1/6,1/2,1/6,-1/2,1/6,0,-1/3,CM,3
